sn,district,phase,pvote,nlu,lunit,party
1,Taplejung,2,0.0,9,cps,np
2,Panchthar,2,0.0,8,cps,np
3,Ilam,2,0.0,10,cps,np
4,Jhapa,2,0.0,15,cps,np
5,Morang,2,0.0,17,cps,np
6,Sunsari,2,0.0,12,cps,np
7,Dhankuta,2,0.0,7,cps,np
8,Terhathum,2,0.0,6,cps,np
9,Sankhuwasabha,2,0.0,10,cps,np
10,Bhojpur,2,0.0,9,cps,np
11,Solukhumbu,2,0.0,8,cps,np
12,Okhaldhunga,2,0.0,8,cps,np
13,Khotang,2,0.0,10,cps,np
14,Udayapur,2,0.0,8,cps,np
15,Saptari,2,0.0,17,cps,np
16,Siraha,2,0.0,17,cps,np
17,Dhanusa,2,0.0,17,cps,np
18,Mahottari,2,0.0,15,cps,np
19,Sarlahi,2,0.0,17,cps,np
20,Sindhuli,1,75.0,9,cps,np
21,Ramechhap,1,54.0,8,cps,np
22,Dolakha,1,62.0,9,cps,np
23,Sindhupalchok,1,70.0,12,cps,np
24,Kavrepalanchok,1,60.0,13,cps,np
25,Lalitpur,1,75.0,6,LalitpurN.P.,NC
26,Bhaktapur,1,80.0,4,BhaktapurN.P.,NMK
27,Kathmandu,1,75.0,11,KathmanduN.P.,CPN_UML
27,Kathmandu,1,75.0,11,Naglebhare,CPN_UML,Shankharapur
27,Kathmandu,1,75.0,11,Lapsephedi,CPN_UML,Shankharapur
27,Kathmandu,1,75.0,11,Bajrayogini,CPN_UML,Shankharapur
27,Kathmandu,1,75.0,11,Suntol,CPN_UML,Shankharapur
27,Kathmandu,1,75.0,11,Indrayani,CPN_UML,Shankharapur
27,Kathmandu,1,75.0,11,Pukhulachhi,CPN_UML,Shankharapur
27,Kathmandu,1,75.0,11,Gagalphedi,CPN_UML,KageswariM
27,Kathmandu,1,75.0,11,Aalapot,CPN_UML,KageswariM
27,Kathmandu,1,75.0,11,Bhadrabas,CPN_UML,KageswariM
27,Kathmandu,1,75.0,11,Daanchhi,CPN_UML,KageswariM
27,Kathmandu,1,75.0,11,Mulpani,CPN_UML,KageswariM
27,Kathmandu,1,75.0,11,Gothatar,CPN_UML,KageswariM
27,Kathmandu,1,75.0,11,KirtipurN.P.,CPN_UML
27,Kathmandu,1,75.0,11,Budanilkantha,CPN_UML
27,Kathmandu,1,75.0,11,Daxinkali,NC
28,Nuwakot,1,70.0,12,cps,np
29,Rasuwa,1,82.0,5,cps,np
30,Dhading,1,75.0,13,cps,np
31,Makwanpur,1,70.0,10,HetaudaN.P.,CPN_UML
32,Rautahat,2,0.0,16,cps,np
33,Bara,2,0.0,15,cps,np
34,Parsa,2,0.0,13,cps,np
35,Chitawan,1,70.0,7,cps,np
36,Gorkha,1,80.0,11,cps,np
37,Lamjung,1,71.0,8,cps,np
38,Tanahu,1,70.0,10,cps,np
39,Syangja,1,70.0,11,cps,np
40,Kaski,1,75.0,5,cps,np
41,Manang,1,58.0,4,cps,np
42,Mustang,1,75.0,5,Chhoser,NC
42,Mustang,1,75.0,5,Chhonhup,NC
42,Mustang,1,75.0,5,Lomanthang,NC
42,Mustang,1,75.0,5,Charang,INDP
42,Mustang,1,75.0,5,Dhami,INDP
42,Mustang,1,75.0,5,Chhusang,NC
42,Mustang,1,75.0,5,Kagbeni,NC
42,Mustang,1,75.0,5,Muktinath,NC
42,Mustang,1,75.0,5,Jhong,NC
42,Mustang,1,75.0,5,Kowang,NC
42,Mustang,1,75.0,5,Tukuche,NC
42,Mustang,1,75.0,5,Jomsom,CPN_UML
42,Mustang,1,75.0,5,Marpha,CPN_UML
42,Mustang,1,75.0,5,Surkhang,INDP
43,Myagdi,1,60.0,6,cps,np
44,Parbat,1,65.0,7,cps,np
