sn,district,cnum,nvote,avote,pvote,cvote,pcvote,fvote,pfvote,party,age,gender,vote
1,Taplejung,1,32950,24093,73.12,23220,96.38,873,3.62,CPN_UML,55,male,7434
2,Taplejung,2,25859,18774,72.6,17970,95.72,804,4.28,CPN_UML,55,male,7034
3,Panchthar,1,50187,36226,72.18,34412,94.99,1814,5.01,CPN_UML,60,male,13082
4,Panchthar,2,45610,34018,74.58,32277,94.88,1741,5.12,NC,49,male,11839
5,Ilam,1,59816,47006,78.58,44241,94.12,2765,5.88,CPN_UML,64,male,17342
6,Ilam,2,51747,40128,77.55,37479,93.4,2649,6.6,CPN_UML,61,male,14930
7,Ilam,3,51991,40550,77.99,38365,94.61,2185,5.39,NC,54,male,15868
8,Jhapa,1,64303,50150,77.99,46420,92.56,3730,7.44,CPN_UML,49,male,17229
9,Jhapa,2,64879,50467,77.79,46814,92.76,3653,7.24,NC,63,male,13554
10,Jhapa,3,59486,46530,78.22,43734,93.99,2796,6.01,NC,64,male,14355
11,Jhapa,4,72387,57162,78.97,53252,93.16,3910,6.84,CPN_UML,48,male,22159
12,Jhapa,5,70715,56209,79.49,51811,92.18,4398,7.82,NC,69,male,16587
13,Jhapa,6,49690,39773,80.04,36750,92.4,3023,7.6,CPN_UML,54,male,11326
14,Jhapa,7,73031,55497,75.99,51991,93.68,3506,6.32,CPN_UML,62,male,19287
15,Sankhuwasabha,1,40234,28981,72.03,27313,94.24,1668,5.76,NC,50,male,9415
16,Sankhuwasabha,2,41003,30565,74.54,28878,94.48,1687,5.52,NC,42,male,11552
17,Terhathum,1,52426,39347,75.05,37318,94.84,2029,5.16,CPN_UML,52,male,15111
18,Bhojpur,1,46070,32476,70.49,30330,93.39,2146,6.61,CPN_UML,62,male,11450
19,Bhojpur,2,44873,32390,72.18,30489,94.13,1901,5.87,CPN_UML,43,male,11927
20,Dhankuta,1,43384,32848,75.71,31090,94.65,1758,5.35,CPN_UML,49,male,10953
21,Dhankuta,2,39248,29878,76.13,28473,95.3,1405,4.7,RPP,54,male,10093
22,Morang,1,54722,44191,80.76,40975,92.72,3216,7.28,CPN_UML,46,male,14000
