time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-05-17T10:47:45.820Z,40.55,-120.0303,3.46,2.55,ml,16,273.88,0.383,,nn,nn00494669,2015-05-17T10:50:42.783Z,"50km NE of Janesville, California",earthquake
2015-05-17T10:47:23.610Z,41.8143333,-119.6268333,0.02,3.15,ml,6,292,0.5127,0.68,uw,uw61004382,2015-05-17T11:00:53.071Z,"72km SE of Lakeview, Oregon",earthquake
2015-05-17T09:25:59.200Z,36.6609993,-120.8773346,5.63,2.69,md,51,153,0.06791,0.1,nc,nc72450561,2015-05-17T09:59:03.960Z,"39km SSW of South Dos Palos, California",earthquake
2015-05-17T09:14:46.000Z,62.8915,-149.0371,71.7,3.9,ml,,,,0.79,ak,ak11599261,2015-05-17T09:43:23.052Z,"56km S of Cantwell, Alaska",earthquake
2015-05-17T08:52:39.890Z,-12.1291,165.727,30.22,5.4,mb,,44,6.276,0.76,us,us100029xn,2015-05-17T09:08:17.548Z,"156km S of Lata, Solomon Islands",earthquake
2015-05-17T08:49:10.000Z,60.9803,-151.3913,92.2,3.4,ml,,,,0.67,ak,ak11599240,2015-05-17T09:07:22.125Z,"32km N of Nikiski, Alaska",earthquake
2015-05-17T07:09:27.840Z,-28.8819,-68.0341,17.61,4.9,mb,,46,2.257,0.95,us,us100029x8,2015-05-17T07:36:23.243Z,"21km SE of Vinchina, Argentina",earthquake
2015-05-17T06:39:18.000Z,61.9854,-151.0436,110,2.8,ml,,,,1.12,ak,ak11599151,2015-05-17T06:59:43.877Z,"59km WNW of Willow, Alaska",earthquake
2015-05-17T06:03:54.700Z,19.3361667,-155.3175,3.82,2.53,ml,39,52,0.01549,0.1,hv,hv60938586,2015-05-17T07:32:23.572Z,"13km SW of Volcano, Hawaii",earthquake
2015-05-17T05:45:37.780Z,27.4949,85.7729,10,4.3,mb,,166,5.195,0.93,us,us100029x0,2015-05-17T08:41:33.307Z,"27km ESE of Panaoti, Nepal",earthquake
2015-05-17T04:08:49.420Z,34.4774,26.2605,26.05,4.4,mwr,,60,1.298,1.01,us,us100029wt,2015-05-17T04:48:01.371Z,"68km SSE of Makry Gialos, Greece",earthquake
2015-05-17T03:56:14.290Z,-4.323,152.1231,10,5,mb,,56,0.137,0.9,us,us100029ws,2015-05-17T04:19:03.960Z,"14km SSW of Rabaul, Papua New Guinea",earthquake
2015-05-17T01:54:41.224Z,39.0509,-118.9523,8.3461,2.73,ml,26,116.72,0.234,0.173,nn,nn00494644,2015-05-17T02:57:18.490Z,"19km ENE of Yerington, Nevada",earthquake
2015-05-17T01:54:34.160Z,-2.869,142.0206,29.71,4.6,mb,,124,9.759,0.73,us,us100029w4,2015-05-17T09:57:15.715Z,"46km NW of Aitape, Papua New Guinea",earthquake
2015-05-17T00:56:48.450Z,-4.3633,152.0828,10,5,mb,,98,0.189,1.06,us,us100029w0,2015-05-17T08:59:24.093Z,"20km W of Kokopo, Papua New Guinea",earthquake
2015-05-17T00:55:09.940Z,-22.6125,-66.3207,258.91,4.4,mb,,48,2.393,0.73,us,us100029vz,2015-05-17T08:57:44.272Z,"65km W of Abra Pampa, Argentina",earthquake
2015-05-17T00:10:06.800Z,18.8479,-67.694,122,3,Md,7,327.6,0.66924489,0.62,pr,pr15137001,2015-05-17T08:12:35.971Z,"73km NW of Aguadilla, Puerto Rico",earthquake
2015-05-17T00:09:22.100Z,18.6837,-64.994,8,2.6,Md,7,198,0.33237666,0.38,pr,pr15137000,2015-05-17T08:11:52.517Z,"38km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-05-16T23:15:25.620Z,27.6742,85.9187,10,4.4,mb,,148,5.713,0.75,us,us100029vn,2015-05-17T09:30:17.640Z,"30km S of Kodari, Nepal",earthquake
2015-05-16T22:40:41.790Z,31.2424,141.8713,10,4.6,mb,,123,2.555,0.56,us,us100029vj,2015-05-17T06:43:23.966Z,"282km SE of Hachijo-jima, Japan",earthquake
2015-05-16T22:00:24.000Z,52.495,-163.9728,25.2,2.8,ml,,,,0.25,ak,ak11598794,2015-05-17T06:02:59.268Z,"218km SE of Akutan, Alaska",earthquake
2015-05-16T21:52:32.000Z,63.2392,-150.3545,115.1,2.7,ml,,,,0.53,ak,ak11598787,2015-05-17T05:55:12.426Z,"72km WSW of Cantwell, Alaska",earthquake
2015-05-16T21:41:31.720Z,39.739,141.6971,34.59,4.3,mb,,142,1.307,1.49,us,us100029vd,2015-05-17T00:41:47.423Z,"24km WNW of Miyako, Japan",earthquake
2015-05-16T20:56:16.800Z,19.0079,-64.416,8,2.8,Md,3,291.6,0.28746089,0.23,pr,pr15136016,2015-05-17T04:58:52.859Z,"68km NNE of Road Town, British Virgin Islands",earthquake
2015-05-16T19:14:12.690Z,19.3808333,-155.251,1.57,3.33,ml,37,48,0.004661,0.08,hv,hv60937801,2015-05-16T20:21:15.183Z,"5km SSW of Volcano, Hawaii",earthquake
2015-05-16T19:05:57.500Z,19.3821667,-155.2501667,1.47,3.09,ml,44,47,0.003497,0.09,hv,hv60937796,2015-05-17T03:08:40.468Z,"5km SSW of Volcano, Hawaii",earthquake
2015-05-16T17:48:58.790Z,40.3019981,-124.7714996,17.66,2.68,md,17,282,0.3894,0.23,nc,nc72450296,2015-05-16T18:48:05.875Z,"52km SW of Ferndale, California",earthquake
2015-05-16T14:25:17.650Z,35.6208,-97.0563,5,3,mb_lg,,86,0.059,0.39,us,us100029sg,2015-05-16T22:27:46.444Z,"13km ESE of Luther, Oklahoma",earthquake
2015-05-16T13:22:37.670Z,-10.6428,115.8941,40.08,4.3,mb,,109,2.759,1.23,us,us100029s6,2015-05-16T21:25:08.487Z,"198km SSW of Kute, Indonesia",earthquake
2015-05-16T13:13:42.510Z,-8.7552,118.3116,125.3,4.2,mb,,126,3.883,1.37,us,us100029s4,2015-05-16T21:16:25.400Z,"22km S of Npongge, Indonesia",earthquake
2015-05-16T12:03:20.750Z,35.6071,-97.0615,6.86,3.1,mb_lg,,57,0.045,0.39,us,us100029rq,2015-05-17T02:50:54.090Z,"13km ESE of Luther, Oklahoma",earthquake
2015-05-16T11:37:52.400Z,19.1394,-66.5749,32,3,Md,11,280.8,0.66026173,0.15,pr,pr15136010,2015-05-16T19:40:21.439Z,"75km NNE of Arecibo, Puerto Rico",earthquake
